TIME,IR1,IR2,US
03:31:50,30,120,50
03:32:54,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:27:09,30,120,50
03:31:36,30,120,50
03:31:50,30,120,50
03:32:54,30,120,50
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:26:42,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:26:42,30,120,51
03:28:55,30,120,51
03:29:07,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:26:42,30,120,51
03:28:55,30,120,51
03:29:07,30,120,51
03:31:19,30,120,51
03:31:37,30,120,51
03:31:37,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:26:42,30,120,51
03:28:55,30,120,51
03:29:07,30,120,51
03:31:19,30,120,51
03:31:37,30,120,51
03:31:37,30,120,51
03:09:20,30,120,51
03:09:21,30,120,51
03:11:50,30,120,51
03:12:26,30,120,51
03:13:24,30,120,51
03:13:50,30,120,51
03:14:42,30,120,51
03:15:34,30,120,51
03:15:47,30,120,51
03:17:44,30,120,51
03:18:54,30,120,51
03:19:56,30,120,51
03:24:23,30,120,51
03:24:48,30,120,51
03:26:01,30,120,51
03:26:42,30,120,51
03:28:55,30,120,51
03:29:07,30,120,51
03:31:19,30,120,51
03:31:37,30,120,51
03:31:37,30,120,51
03:35:23,30,120,51
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:31:02,30,120,52
03:31:44,30,120,52
03:32:16,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:31:02,30,120,52
03:31:44,30,120,52
03:32:16,30,120,52
03:10:27,30,120,52
03:13:16,30,120,52
03:13:27,30,120,52
03:17:32,30,120,52
03:20:26,30,120,52
03:20:48,30,120,52
03:22:30,30,120,52
03:22:47,30,120,52
03:23:02,30,120,52
03:24:19,30,120,52
03:24:51,30,120,52
03:31:02,30,120,52
03:31:44,30,120,52
